n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
0,             0,               0,              0,         0,           0,          0,             0,               0,              0,         0,           0,          0
1,             0,               0,              0,         0,           0,          0,             0,               0,              0,         0,           0,          0
2,             1,               0,              0,         1,           1,          0,             1,               0,              0,         1,           0,          0
3,             3,               2,              0,         5,           2,          0,             3,               2,              0,         2,           0,          0
4,             6,               4,              0,         7,           3,          0,             6,               2,              0,         4,           0,          0
5,             9,               6,              0,        12,           5,          0,            10,               4,              0,         7,           0,          0
6,            12,               8,              0,        15,           6,          0,            15,               4,              0,         9,           0,          0
7,            18,              13,              0,        21,           6,          0,            21,               5,              0,        11,           0,          0
8,            19,              13,           1003,        28,           7,          0,            28,               5,              0,        16,           0,          0
9,            27,              20,              0,        29,           7,          0,            36,               4,              0,        19,           0,          0
