 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              0,         0,           0,          0,             0,               0,              0,         0,           0,          0
 1,             0,               0,              0,         0,           0,          0,             0,               0,              0,         0,           0,          0
 2,             1,               0,              0,         1,           1,          0,             1,               0,              0,         1,           0,          0
 3,             2,               0,              0,         3,           2,          0,             3,               0,              0,         3,           0,          0
 4,             4,               1,              0,         5,           2,          0,             6,               1,              0,         4,           0,          0
 5,             8,               5,              0,        13,           4,          0,            10,               3,              0,         6,           0,          0
 6,            13,               9,              0,        16,           5,          0,            15,               5,              0,        11,           0,          0
 7,            15,              10,              0,        22,           6,          0,            21,               6,              0,        13,           0,          0
 8,            17,              11,              0,        26,           7,          0,            28,               7,              0,        15,           0,          0
 9,            20,              13,              0,        28,           8,          0,            36,               7,              0,        18,           0,          0
10,            21,              13,              0,        41,           9,          0,            45,               7,              0,        21,           0,          0
